caller_number,receiver_number,call_duration_secs,timestamp,tower_id,imei
9313896127,9756537442,291,2024-02-05 19:06:00,TWR_MUM_002,35002272tattooine80200932
9346344466,9485577262,99,2024-01-08 09:13:00,TWR_CHN_001,35921285tattooine83235253
9876543214,9728054946,2598,2024-06-15 19:34:00,TWR_DEL_002,35388299tattooine84864326
9876543213,9602796171,1439,2024-06-27 14:21:00,TWR_DEL_001,35921285tattooine83235253
9876543211,9850465353,1678,2024-04-07 09:22:00,TWR_DEL_001,35921285tattooine83235253
9329824233,9426674499,54,2024-02-01 14:05:00,TWR_KOL_001,35387906tattooine43934119
9876543214,9064101420,2664,2024-01-18 08:42:00,TWR_DEL_002,35388299tattooine84864326
9876543212,9490045251,1253,2024-03-12 15:40:00,TWR_DEL_001,35117388tattooine23196964
9104351974,9942604595,373,2024-06-28 18:41:00,TWR_MUM_002,35909823tattooine41115970
9876543211,9093564327,3286,2024-04-28 14:17:00,TWR_DEL_002,35921285tattooine83235253
9620442975,9359305552,580,2024-01-15 11:52:00,TWR_MUM_002,35383553tattooine83491291
9876543212,9227272807,1396,2024-05-25 19:20:00,TWR_DEL_001,35921285tattooine83235253
9876543213,9391379974,2933,2024-03-08 10:15:00,TWR_MUM_002,35921285tattooine83235253
9695742580,9178570637,448,2024-02-26 10:32:00,TWR_CHN_001,35383553tattooine83491291
9876543210,9072129450,926,2024-04-18 17:04:00,TWR_DEL_002,35388299tattooine84864326
9876543214,9373907552,2467,2024-01-03 18:46:00,TWR_MUM_001,35388299tattooine84864326
9876543214,9510418343,1392,2024-03-16 14:10:00,TWR_MUM_001,35921285tattooine83235253
9876543212,9788108578,3420,2024-01-28 18:19:00,TWR_DEL_002,35388299tattooine84864326
9895790887,9766020590,213,2024-02-11 16:49:00,TWR_MUM_001,35383553tattooine83491291
9410327497,9821800172,341,2024-01-29 13:56:00,TWR_KOL_001,35921285tattooine83235253
9135377014,9774092638,255,2024-05-25 09:05:00,TWR_DEL_001,35002272tattooine80200932
9733681193,9804081322,555,2024-06-17 15:35:00,TWR_MUM_001,35388299tattooine84864326
9876543214,9604522528,2033,2024-06-25 11:45:00,TWR_DEL_002,35388299tattooine84864326
9876543212,9512141937,2419,2024-03-04 11:04:00,TWR_MUM_002,35921285tattooine83235253
9876543214,9818999432,1242,2024-01-19 19:40:00,TWR_DEL_002,35921285tattooine83235253
9876543210,9078291284,1653,2024-03-01 12:42:00,TWR_DEL_001,35388299tattooine84864326
9876543214,9161525642,3262,2024-05-01 20:26:00,TWR_MUM_002,35921285tattooine83235253
9876543210,9257624987,2065,2024-04-15 15:55:00,TWR_MUM_001,35117388tattooine23196964
9997607469,9777982954,110,2024-03-27 20:55:00,TWR_DEL_001,35050291tattooine44594891
9876543211,9329617060,2496,2024-04-18 10:17:00,TWR_MUM_002,35921285tattooine83235253
9876543210,9365473018,2554,2024-06-15 16:53:00,TWR_DEL_001,35921285tattooine83235253
